SIREN,SIRET,Activité principale de l'établissement,Code postal de l'établissement,Commune de l'établissement,Libellé de la commune de l'établissement à l'étranger,Code commune de l'établissement,Code postal de l'établissement 2,Libellé de la commune de l'établissement 2,Libellé de la commune de l'établissement étranger 2,Code de la commune de l'établissement 2,Dénomination usuelle de l'établissement,Activité principale de l'établissement.1,Dénomination de l'unité légale,Dénomination usuelle de l'unité légale 1,Dénomination usuelle de l'unité légale 2,Dénomination usuelle de l'unité légale 3,Activité principale de l'unité légale,Nomenclature de l'activité principale de l'unité légale,SIRET du siège de l'unité légale,Géolocalisation de l'établissement
508955945,50895594500029,,86230,SAINT-GERVAIS-LES-TROIS-CLOCHERS,,86224,,,,,,86.90F,,,,,86.90F,NAFRev2,50895594500029.0,"46.895517, 0.410506"
919057471,91905747100014,,[ND],BOURG-EN-BRESSE,,01053,[ND],,,,[ND],68.20A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,91905747100014.0,"46.205013838, 5.245593605"
984350991,98435099100019,,06410,BIOT,,06018,,,,,,69.10Z,,,,,69.10Z,NAFRev2,98435099100019.0,"43.617959, 7.058491"
394939599,39493959900012,,71670,ST PIERRE DE VARENNES,,71468,,,,,,68.20B,WOOD,,,,68.20B,NAFRev2,39493959900012.0,"46.832381, 4.528744"
419607155,41960715500043,,67100,STRASBOURG,,67482,,,,,,47.89Z,,,,,47.89Z,NAFRev2,41960715500043.0,"48.570613, 7.762484"
908720022,90872002200031,,75019,PARIS,,75119,,,,,,63.12Z,LE PHARE MUSICAL,,,,63.12Z,NAFRev2,90872002200031.0,"48.881829, 2.371606"
980028690,98002869000017,,[ND],CHATENAY-MALABRY,,92019,[ND],,,,[ND],47.99A,[ND],[ND],[ND],[ND],47.99A,NAFRev2,98002869000017.0,"48.768150824, 2.263584321"
902028810,90202881000031,,[ND],VATTETOT-SUR-MER,,76726,[ND],,,,[ND],01.62Z,[ND],[ND],[ND],[ND],01.62Z,NAFRev2,90202881000031.0,"49.722370943, 0.285707995"
488413840,48841384000015,,78000,VERSAILLES,,78646,,,,,,86.90F,,,,,86.90F,NAFRev2,48841384000015.0,"48.793761, 2.144874"
847960226,84796022600011,,33000,BORDEAUX,,33063,,,,,,53.20Z,,,,,53.20Z,NAFRev2,84796022600011.0,"44.831642, -0.606022"
423472224,42347222400025,,95160,MONTMORENCY,,95428,,,,,,68.20A,SCI BARON GUAY,,,,68.20A,NAFRev2,42347222400025.0,"48.987616, 2.320933"
848592036,84859203600018,,21000,DIJON,,21231,,,,,SOVIAL,47.22Z,SOVIAL,,,,47.22Z,NAFRev2,84859203600018.0,"47.321021, 5.002898"
452111990,45211199000019,,06460,SAINT-VALLIER-DE-THIEY,,06130,,,,,,68.20A,OLILA,,,,68.20A,NAFRev2,45211199000019.0,"43.690736, 6.86877"
337561310,33756131000018,,77160,PROVINS,,77379,,,,,,68.20B,GFA DES HUBLETS,,,,68.20B,NAFRev2,33756131000018.0,"48.56533, 3.305595"
828308031,82830803100024,,06400,CANNES,,06029,,,,,,96.02A,STAR EVENT'S CANNES,,,,96.02A,NAFRev2,82830803100024.0,"43.551, 7.02934"
882790215,88279021500025,4120AZ,77270,VILLEPARISIS,,77514,,,,,,41.20A,UNIK BAT,,,,41.20A,NAFRev2,88279021500025.0,"48.939971, 2.59954"
490701133,49070113300020,,59650,VILLENEUVE-D'ASCQ,,59009,,,,,,49.41B,,TEMACOLIS,,,49.41B,NAFRev2,49070113300020.0,"50.621851, 3.132858"
821497476,82149747600027,,39100,AUTHUME,,39030,,,,,,68.20B,SOCIETE CVILE IMMOBLIERE AURALOR,,,,68.20B,NAFRev2,82149747600027.0,"47.124834, 5.496104"
901053447,90105344700016,,78890,GARANCIERES,,78265,,,,,,68.20B,ADOMAISON,,,,68.20B,NAFRev2,90105344700016.0,"48.808686, 1.74835"
903302602,90330260200011,,97438,SAINTE MARIE,,97418,,,,,,01.50Z,,,,,01.50Z,NAFRev2,90330260200011.0,"-20.933522, 55.52046"
919728683,91972868300013,,60100,CREIL,,60175,,,,,,85.52Z,,,,,85.52Z,NAFRev2,91972868300013.0,"49.264382, 2.471596"
415000504,41500050400050,,69290,GREZIEU-LA-VARENNE,,69094,,,,,,47.89Z,,,,,47.89Z,NAFRev2,41500050400050.0,"45.746802, 4.688192"
753691047,75369104700025,,13100,AIX-EN-PROVENCE,,13001,,,,,,86.90F,,,,,86.90F,NAFRev2,75369104700025.0,"43.532216, 5.445187"
518934328,51893432800015,,52150,LEVECOURT,,52287,,,,,,35.11Z,HELIOS ENERGY,,,,35.11Z,NAFRev2,51893432800015.0,"48.14228, 5.54925"
931402002,93140200200014,,73550,LES ALLUES,,73015,,,,,,68.20A,,,,,68.20A,NAFRev2,93140200200014.0,"45.373951, 6.571785"
405254798,40525479800029,,13002,MARSEILLE,,13202,,,,,,66.22Z,S.G.S.E.A.,,,,66.22Z,NAFRev2,40525479800029.0,"43.30534, 5.365751"
897470969,89747096900014,,80000,AMIENS,,80021,,,,,,53.20Z,,,,,53.20Z,NAFRev2,89747096900014.0,"49.903771, 2.319387"
992647305,99264730500018,,[ND],BONSECOURS,,76103,[ND],,,,[ND],70.22Z,[ND],[ND],[ND],[ND],70.22Z,NAFRev2,99264730500018.0,"49.426058878, 1.130438728"
924974603,92497460300012,,[ND],PARIS,,75112,[ND],,,,[ND],59.12Z,[ND],[ND],[ND],[ND],59.12Z,NAFRev2,92497460300012.0,"48.834961802, 2.421385379"
800095358,80009535800027,,84600,VALREAS,,84138,,,,,,68.20B,FAIT 2 PIERRE,,,,68.20B,NAFRev2,80009535800027.0,"44.372265, 4.965468"
810134395,81013439500013,,49440,CHALLAIN-LA-POTHERIE,,49061,,,,,,68.20B,,,,,68.20B,NAFRev2,81013439500013.0,"47.645759, -1.07699"
851101873,85110187300020,,[ND],SALON-DE-PROVENCE,,13103,[ND],,,,[ND],31.09B,[ND],[ND],[ND],[ND],31.09B,NAFRev2,85110187300020.0,"43.646321793, 5.067827841"
921770400,92177040000015,,28000,CHARTRES,,28085,,,,,PATRICK NGUYEN,56.21Z,,,,,56.21Z,NAFRev2,92177040000015.0,"48.443114, 1.50612"
830742599,83074259900012,,75014,PARIS,,75114,,,,,,68.20A,INDIVISION ARRAULT CHAYA,,,,68.20A,NAFRev2,83074259900012.0,"48.835393, 2.326514"
807499793,80749979300014,,97214,LORRAIN,,97214,,,,,SARL L'ELEGANCE DU VERT,81.30Z,SARL L ELEGANCE DU VERT,,,,81.30Z,NAFRev2,80749979300014.0,"14.821197, -61.063327"
831252721,83125272100053,,[ND],ORBEC,,14478,[ND],,,,[ND],68.31Z,[ND],[ND],[ND],[ND],68.31Z,NAFRev2,83125272100053.0,"49.023126726, 0.384168151"
841462385,84146238500011,,75020,PARIS,,75120,,,,,,53.20Z,,,,,53.20Z,NAFRev2,84146238500011.0,"48.852932, 2.398847"
389340555,38934055500017,,84100,ORANGE,,84087,,,,,,81.10Z,COPROPRIETE DOUCEDE ET FALQUE,,,,81.10Z,NAFRev2,38934055500017.0,"44.145026, 4.813095"
825009640,82500964000020,4776ZP,33300,BORDEAUX,,33063,,,,,EFFLEUREE,47.76Z,,,,,47.76Z,NAFRev2,82500964000020.0,"44.861466, -0.572585"
907903629,90790362900026,,67880,INNENHEIM,,67223,,,,,,43.22A,URBAN,,,,43.22A,NAFRev2,90790362900026.0,"48.495052, 7.57873"
351916317,35191631700230,,06400,CANNES,,06029,,,,,,86.22C,,,,,86.22C,NAFRev2,35191631700230.0,"43.563125, 7.016804"
920454618,92045461800017,,54000,NANCY,,54395,,,,,,68.20B,SARL DE FAMILLE GC GENOT,,,,68.20B,NAFRev2,92045461800017.0,"48.694091, 6.186012"
882829039,88282903900016,,[ND],SAINT-CANNAT,,13091,[ND],,,,[ND],86.90F,[ND],[ND],[ND],[ND],86.90F,NAFRev2,88282903900016.0,"43.613572792, 5.306926325"
949844328,94984432800011,,33600,PESSAC,,33318,,,,,,43.91B,,,,,43.91B,NAFRev2,94984432800011.0,"44.796428, -0.630723"
341106540,34110654000014,,07530,AIZAC,,07003,,,,,,68.32A,ASS SYNDICALE LIBRE DES BLANCHON,,,,68.32A,NAFRev2,34110654000014.0,"44.717976, 4.348004"
980818496,98081849600013,,84100,ORANGE,,84087,,,,,,68.20B,LES CHAMAEROPS,,,,68.20B,NAFRev2,98081849600013.0,"44.133835, 4.801453"
215500844,21550084400018,,55190,BROUSSEY-EN-BLOIS,,55084,,,,,,84.11Z,COMMUNE DE BROUSSEY EN BLOIS,,,,84.11Z,NAFRev2,21550084400018.0,"48.639298, 5.549224"
452401565,45240156500026,,30190,SAINT-GENIES-DE-MALGOIRES,,30255,,,,,,46.90Z,MAISON SEMPERE,,,,46.90Z,NAFRev2,45240156500026.0,"43.942067, 4.21482"
487486714,48748671400065,,[ND],MARSEILLE,,13201,[ND],,,,[ND],69.10Z,[ND],[ND],[ND],[ND],69.10Z,NAFRev2,48748671400065.0,"43.299974296, 5.382708717"
882512734,88251273400014,,[ND],MARLY-LA-VILLE,,95371,[ND],,,,[ND],56.10C,[ND],[ND],[ND],[ND],56.10C,NAFRev2,88251273400014.0,"49.08087171, 2.509126915"
940835267,94083526700011,,97320,SAINT-LAURENT-DU-MARONI,,97311,,,,,,70.10Z,GUINGAMP CHICHA,,,,00.00Z,NAFRev2,94083526700011.0,"5.488278, -54.035923"
890537319,89053731900018,,[ND],TOULOUSE,,31555,[ND],,,,[ND],68.20A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,89053731900018.0,"43.596037953, 1.432094901"
980625123,98062512300016,,[ND],ROCHEFORT,,17299,[ND],,,,[ND],43.34Z,[ND],[ND],[ND],[ND],43.34Z,NAFRev2,98062512300016.0,"45.942884037, -0.972199199"
938801784,93880178400019,,92000,NANTERRE,,92050,,,,,,70.22Z,,,,,70.22Z,NAFRev2,93880178400019.0,"48.88898, 2.225373"
776060576,77606057600050,,34080,MONTPELLIER,,34172,,,,,,88.99B,ASSOCIATION POUR LA PROTECTION DE L'ENFANCE ET DE L'ADOLESCENCE 34,,,,88.99B,NAFRev2,77606057600050.0,"43.617007, 3.824624"
407978246,40797824600012,,12440,LA SALVETAT-PEYRALES,,12258,,,,,,01.42Z,,,,,01.42Z,NAFRev2,40797824600012.0,"44.214061, 2.170712"
988217899,98821789900018,,14100,LISIEUX,,14366,,,,,,85.53Z,FORM'1 PRO,,,,85.53Z,NAFRev2,98821789900018.0,"49.144581, 0.222674"
538787441,53878744100012,,76650,PETIT-COURONNE,,76497,,,,,,68.20B,JENADYQUOC,,,,68.20B,NAFRev2,53878744100012.0,"49.379533, 1.036982"
890437858,89043785800016,,28110,LUCE,,28218,,,,,,47.99A,,,,,47.99A,NAFRev2,89043785800016.0,"48.43483, 1.461178"
899311054,89931105400014,,14950,BEAUMONT-EN-AUGE,,14055,,,,,,68.20B,SCI J2L IMMO,,,,68.20B,NAFRev2,89931105400014.0,"49.277187, 0.113638"
810838748,81083874800012,,59156,LOURCHES,,59361,,,,,,47.89Z,,,,,47.89Z,NAFRev2,81083874800012.0,"50.304011, 3.351904"
422901934,42290193400014,,85320,CHATEAU-GUIBERT,,85061,,,,,,68.32A,ASS SYND LIBRE IRRIGAT CHATEAU GUIBERT,,,,68.32A,NAFRev2,42290193400014.0,"46.564284, -1.262211"
840366017,84036601700027,,75011,PARIS,,75111,,,,,,46.73A,OVERPARQUET,,,,46.73A,NAFRev2,84036601700027.0,"48.852092, 2.388988"
479606469,47960646900050,,69800,SAINT-PRIEST,,69290,,,,,,86.90D,,,,,86.90D,NAFRev2,47960646900050.0,"45.687202, 4.943809"
43509512,4350951200018,,25000,BESANCON,,25056,,,,,,81.10Z,SYNDICAT COPROPIETE LE METROPOLE,,,,81.10Z,NAFRev2,4350951200018.0,"47.24312, 6.02841"
994455764,99445576400013,,13680,LANCON-PROVENCE,,13051,,,,,,47.99A,,,,,47.99A,NAFRev2,99445576400013.0,"43.593671, 5.129732"
842348377,84234837700016,,[ND],LYON,,69384,[ND],,,,[ND],93.29Z,[ND],[ND],[ND],[ND],93.29Z,NAFRev2,84234837700016.0,"45.77900012, 4.823804696"
989573928,98957392800011,,17139,DOMPIERRE-SUR-MER,,17142,,,,,DP A VOTRE SERVICE,81.22Z,,,,,81.22Z,NAFRev2,98957392800011.0,"46.188679, -1.063868"
994994796,99499479600013,,74440,MORILLON,,74190,,,,,LES ECOHOTES,96.09Z,LES ECOHOTES,,,,96.09Z,NAFRev2,99499479600013.0,"46.081699, 6.671294"
854014073,85401407300019,,,,MONACO,,,,,,,68.20A,TRIBECA,,,,68.20A,NAFRev2,85401407300019.0,"49.606962, 3.807799"
793689720,79368972000027,,62630,ETAPLES,,62318,,,,,,86.90F,,,,,86.90F,NAFRev2,79368972000027.0,"50.514909, 1.636806"
384156089,38415608900045,,[ND],LOUDENVIELLE,,65282,[ND],,,,[ND],68.20B,[ND],[ND],[ND],[ND],68.20B,NAFRev2,38415608900045.0,"42.731596477, 0.432003326"
984304576,98430457600015,,84000,AVIGNON,,84007,,,,,,68.20B,BOAZ,,,,68.20B,NAFRev2,98430457600015.0,"43.949169, 4.803565"
823476577,82347657700015,4399CZ,82110,LAUZERTE,,82094,,,,,,43.99C,SARL BERRA ET FILS,,,,43.99C,NAFRev2,82347657700015.0,"44.270011, 1.145442"
921204566,92120456600027,,[ND],BONCHAMP-LES-LAVAL,,53034,[ND],,,,[ND],86.21Z,[ND],[ND],[ND],[ND],86.21Z,NAFRev2,92120456600027.0,"48.067642352, -0.699015837"
812750289,81275028900017,,76100,ROUEN,,76540,,,,,,86.22B,SELARL DU DOCTEUR VIANNEY ROGER,,,,86.22B,NAFRev2,81275028900017.0,"49.428452, 1.094907"
216704510,21670451000017,,67160,SCHLEITHAL,,67451,,,,,,84.11Z,COMMUNE DE SCHLEITHAL,,,,84.11Z,NAFRev2,21670451000017.0,"48.988207, 8.04447"
995347523,99534752300012,,25250,L'ISLE-SUR-LE-DOUBS,,25315,,,,,TCASHOES,47.91B,,,,,47.91B,NAFRev2,99534752300012.0,"47.44132, 6.586227"
945169415,94516941500011,,[ND],ANGERS,,49007,[ND],,,,[ND],82.99Z,[ND],[ND],[ND],[ND],82.99Z,NAFRev2,94516941500011.0,"47.476657084, -0.556221025"
